title,author,pub_time,star,style,long_time
我不是药神,"徐峥,周一围,王传君",2018-07-05,9.6,"
            ",117
肖申克的救赎,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",1994-09-10(加拿大),9.5,"
            ",142
